Sector,Community Name,Category,Crime Count,Date,Year,Month,ID,Resident Count,Community Center Point,Calgary Communities,Ward Boundaries 2013-2017,Ward Boundaries,City Quadrants
SOUTH,CHINOOK PARK,Break & Enter - Commercial,1,2019/01,2019,JAN,2019-JAN-CHINOOK PARK-Break & Enter - Commercial,,POINT (-114.0889934 50.98324643),59,5,8,1
WEST,STRATHCONA PARK,Theft FROM Vehicle,1,2019/12,2019,DEC,2019-DEC-STRATHCONA PARK-Theft FROM Vehicle,,POINT (-114.1775796 51.04740325),67,14,1,1
WEST,WEST SPRINGS,Theft FROM Vehicle,1,2019/02,2019,FEB,2019-FEB-WEST SPRINGS-Theft FROM Vehicle,,POINT (-114.2061682 51.05971961),114,14,1,1
NORTHEAST,CORNERSTONE,Theft OF Vehicle,1,2019/09,2019,SEP,2019-SEP-CORNERSTONE-Theft OF Vehicle,,POINT (-113.9305705 51.15735997),11,1,11,4
SOUTH,BRAESIDE,Commercial Robbery,1,2019/12,2019,DEC,2019-DEC-BRAESIDE-Commercial Robbery,,POINT (-114.1063532 50.95600012),23,5,8,1
WEST,ASPEN WOODS,Theft FROM Vehicle,1,2019/05,2019,MAY,2019-MAY-ASPEN WOODS-Theft FROM Vehicle,,POINT (-114.2078763 51.04513097),48,14,1,1
SOUTHEAST,AUBURN BAY,Theft OF Vehicle,1,2019/08,2019,AUG,2019-AUG-AUBURN BAY-Theft OF Vehicle,,POINT (-113.9578173 50.89270535),95,8,4,3
EAST,GOLDEN TRIANGLE,Break & Enter - Commercial,1,2019/01,2019,JAN,2019-JAN-GOLDEN TRIANGLE-Break & Enter - Commercial,,POINT (-113.985331 51.0133628),87,11,10,3
WEST,ROSSCARROCK,Street Robbery,1,2019/02,2019,FEB,2019-FEB-ROSSCARROCK-Street Robbery,,POINT (-114.1454937 51.04327739),281,2,14,1
CENTRE,MANCHESTER INDUSTRIAL,Commercial Robbery,1,2019/10,2019,OCT,2019-OCT-MANCHESTER INDUSTRIAL-Commercial Robbery,,POINT (-114.0572665 51.0132571),160,11,10,3
NORTHEAST,CALGARY INTERNATIONAL AIRPORT,Violence Other (Non-domestic),1,2019/05,2019,MAY,2019-MAY-CALGARY INTERNATIONAL AIRPORT-Violence Other (Non-domestic),,POINT (-114.011718 51.12355931),86,1,11,4
CENTRE,LOWER MOUNT ROYAL,Assault (Non-domestic),1,2019/09,2019,SEP,2019-SEP-LOWER MOUNT ROYAL-Assault (Non-domestic),,POINT (-114.0865003 51.03648181),16,2,14,1
NORTH,EVANSTON,Street Robbery,1,2019/12,2019,DEC,2019-DEC-EVANSTON-Street Robbery,,POINT (-114.1124511 51.17111759),237,10,3,2
NORTHWEST,02E,Theft FROM Vehicle,1,2019/08,2019,AUG,2019-AUG-02E-Theft FROM Vehicle,,POINT (-114.199362 51.16143062),204,10,3,2
NORTHEAST,CASTLERIDGE,Theft OF Vehicle,1,2019/01,2019,JAN,2019-JAN-CASTLERIDGE-Theft OF Vehicle,,POINT (-113.9610297 51.10525413),119,1,9,4
NORTHEAST,MONTEREY PARK,Assault (Non-domestic),1,2019/04,2019,APR,2019-APR-MONTEREY PARK-Assault (Non-domestic),,POINT (-113.926851 51.08145946),161,3,9,4
NORTHEAST,SOUTH AIRWAYS,Theft OF Vehicle,1,2019/10,2019,OCT,2019-OCT-SOUTH AIRWAYS-Theft OF Vehicle,,POINT (-114.0052957 51.07421919),106,3,9,4
NORTH,NOLAN HILL,Break & Enter - Dwelling,1,2019/12,2019,DEC,2019-DEC-NOLAN HILL-Break & Enter - Dwelling,,POINT (-114.1663394 51.17533568),188,10,3,2
CENTRE,BANFF TRAIL,Break & Enter - Other Premises,1,2019/01,2019,JAN,2019-JAN-BANFF TRAIL-Break & Enter - Other Premises,,POINT (-114.115129 51.0742166),153,7,7,2
SOUTH,OAKRIDGE,Break & Enter - Other Premises,1,2019/08,2019,AUG,2019-AUG-OAKRIDGE-Break & Enter - Other Premises,,POINT (-114.1296091 50.96973921),217,5,8,1
SOUTHEAST,NEW BRIGHTON,Theft OF Vehicle,1,2019/07,2019,JUL,2019-JUL-NEW BRIGHTON-Theft OF Vehicle,,POINT (-113.9452476 50.92205168),139,8,4,3
NORTH,COUNTRY HILLS,Break & Enter - Other Premises,1,2019/10,2019,OCT,2019-OCT-COUNTRY HILLS-Break & Enter - Other Premises,,POINT (-114.0798938 51.14377568),172,12,2,2
NORTHWEST,UNIVERSITY DISTRICT,Theft FROM Vehicle,1,2019/12,2019,DEC,2019-DEC-UNIVERSITY DISTRICT-Theft FROM Vehicle,,POINT (-114.1449684 51.07385644),155,7,13,2
CENTRE,MOUNT PLEASANT,Break & Enter - Commercial,1,2019/11,2019,NOV,2019-NOV-MOUNT PLEASANT-Break & Enter - Commercial,,POINT (-114.0760278 51.0742307),17,7,7,2
NORTHWEST,UNIVERSITY HEIGHTS,Break & Enter - Dwelling,1,2019/12,2019,DEC,2019-DEC-UNIVERSITY HEIGHTS-Break & Enter - Dwelling,,POINT (-114.1330762 51.07039132),274,7,13,2
NORTH,COVENTRY HILLS,Break & Enter - Other Premises,1,2019/12,2019,DEC,2019-DEC-COVENTRY HILLS-Break & Enter - Other Premises,,POINT (-114.0531434 51.16490633),251,12,11,4
SOUTHEAST,DOUGLASDALE/GLEN,Theft OF Vehicle,1,2019/04,2019,APR,2019-APR-DOUGLASDALE/GLEN-Theft OF Vehicle,,POINT (-114.0119037 50.94844504),268,13,4,3
SOUTH,FAIRVIEW,Break & Enter - Other Premises,1,2019/06,2019,JUN,2019-JUN-FAIRVIEW-Break & Enter - Other Premises,,POINT (-114.0603384 50.98538171),284,11,10,3
SOUTH,SILVERADO,Commercial Robbery,1,2019/09,2019,SEP,2019-SEP-SILVERADO-Commercial Robbery,,POINT (-114.0719419 50.88507563),134,6,6,1
NORTHEAST,ABBEYDALE,Commercial Robbery,1,2019/04,2019,APR,2019-APR-ABBEYDALE-Commercial Robbery,,POINT (-113.9277939 51.05952012),94,3,12,4
CENTRE,RIDEAU PARK,Theft FROM Vehicle,1,2019/04,2019,APR,2019-APR-RIDEAU PARK-Theft FROM Vehicle,,POINT (-114.0741605 51.02487162),277,5,10,1
SOUTH,SHAWNESSY,Break & Enter - Dwelling,1,2019/09,2019,SEP,2019-SEP-SHAWNESSY-Break & Enter - Dwelling,,POINT (-114.0737568 50.90330333),115,6,5,1
SOUTH,OAKRIDGE,Commercial Robbery,1,2019/12,2019,DEC,2019-DEC-OAKRIDGE-Commercial Robbery,,POINT (-114.1296091 50.96973921),217,5,8,1
NORTHEAST,WHITEHORN,Violence Other (Non-domestic),1,2019/09,2019,SEP,2019-SEP-WHITEHORN-Violence Other (Non-domestic),,POINT (-113.9700682 51.08877341),145,3,9,4
NORTHWEST,UNIVERSITY OF CALGARY,Assault (Non-domestic),1,2019/01,2019,JAN,2019-JAN-UNIVERSITY OF CALGARY-Assault (Non-domestic),,POINT (-114.1299158 51.07502104),287,7,13,2
CENTRE,BURNS INDUSTRIAL,Theft OF Vehicle,1,2019/03,2019,MAR,2019-MAR-BURNS INDUSTRIAL-Theft OF Vehicle,,POINT (-114.0396858 50.99866592),109,11,10,3
WEST,COACH HILL,Break & Enter - Dwelling,1,2019/03,2019,MAR,2019-MAR-COACH HILL-Break & Enter - Dwelling,,POINT (-114.1829309 51.05834507),189,14,1,1
EAST,ERIN WOODS,Break & Enter - Dwelling,1,2019/03,2019,MAR,2019-MAR-ERIN WOODS-Break & Enter - Dwelling,,POINT (-113.9676066 51.02105117),35,11,12,3
SOUTH,GLENDEER BUSINESS PARK,Theft OF Vehicle,1,2019/11,2019,NOV,2019-NOV-GLENDEER BUSINESS PARK-Theft OF Vehicle,,POINT (-114.0320551 50.990122),110,11,10,3
NORTHWEST,COLLINGWOOD,Theft FROM Vehicle,1,2019/09,2019,SEP,2019-SEP-COLLINGWOOD-Theft FROM Vehicle,,POINT (-114.1024014 51.08350423),214,4,7,2
NORTHEAST,CORAL SPRINGS,Theft OF Vehicle,1,2019/11,2019,NOV,2019-NOV-CORAL SPRINGS-Theft OF Vehicle,,POINT (-113.9269485 51.10335277),293,3,9,4
EAST,EASTFIELD,Theft OF Vehicle,1,2019/09,2019,SEP,2019-SEP-EASTFIELD-Theft OF Vehicle,,POINT (-113.9700729 51.01193851),101,11,12,3
WEST,SPRUCE CLIFF,Break & Enter - Dwelling,1,2019/09,2019,SEP,2019-SEP-SPRUCE CLIFF-Break & Enter - Dwelling,,POINT (-114.1362821 51.04860967),118,2,14,1
NORTHWEST,MONTGOMERY,Break & Enter - Dwelling,1,2019/09,2019,SEP,2019-SEP-MONTGOMERY-Break & Enter - Dwelling,,POINT (-114.1622756 51.07110788),24,7,13,2
NORTH,SANDSTONE VALLEY,Theft OF Vehicle,1,2019/08,2019,AUG,2019-AUG-SANDSTONE VALLEY-Theft OF Vehicle,,POINT (-114.0949625 51.13773284),270,4,2,2
CENTRE,DOWNTOWN WEST END,Street Robbery,1,2019/06,2019,JUN,2019-JUN-DOWNTOWN WEST END-Street Robbery,,POINT (-114.0877797 51.04796931),45,2,14,1
NORTHWEST,BOWNESS,Break & Enter - Dwelling,1,2019/06,2019,JUN,2019-JUN-BOWNESS-Break & Enter - Dwelling,,POINT (-114.187826 51.08335944),149,9,13,2
NORTH,HUNTINGTON HILLS,Violence Other (Non-domestic),1,2019/05,2019,MAY,2019-MAY-HUNTINGTON HILLS-Violence Other (Non-domestic),,POINT (-114.0667094 51.11758229),261,4,2,4
NORTHEAST,STONEY 4,Theft OF Vehicle,1,2019/04,2019,APR,2019-APR-STONEY 4-Theft OF Vehicle,,POINT (-114.0027575 51.17620448),243,12,11,4
NORTHWEST,02E,Break & Enter - Commercial,1,2019/05,2019,MAY,2019-MAY-02E-Break & Enter - Commercial,,POINT (-114.199362 51.16143062),204,10,3,2
NORTHWEST,EDGEMONT,Commercial Robbery,1,2019/03,2019,MAR,2019-MAR-EDGEMONT-Commercial Robbery,,POINT (-114.1439532 51.12458785),272,4,2,2
NORTHEAST,CASTLERIDGE,Violence Other (Non-domestic),1,2019/05,2019,MAY,2019-MAY-CASTLERIDGE-Violence Other (Non-domestic),,POINT (-113.9610297 51.10525413),119,1,9,4
SOUTH,PUMP HILL,Break & Enter - Commercial,1,2019/09,2019,SEP,2019-SEP-PUMP HILL-Break & Enter - Commercial,,POINT (-114.1007876 50.9668273),127,5,8,1
WEST,SIGNAL HILL,Street Robbery,1,2019/08,2019,AUG,2019-AUG-SIGNAL HILL-Street Robbery,,POINT (-114.1791959 51.02286096),278,14,1,1
NORTH,PANORAMA HILLS,Street Robbery,1,2019/08,2019,AUG,2019-AUG-PANORAMA HILLS-Street Robbery,,POINT (-114.0880634 51.15971101),235,12,11,2
CENTRE,HIGHLAND PARK,Break & Enter - Other Premises,1,2019/11,2019,NOV,2019-NOV-HIGHLAND PARK-Break & Enter - Other Premises,,POINT (-114.062069 51.0880224),259,4,2,4
NORTHWEST,CITADEL,Break & Enter - Dwelling,1,2019/01,2019,JAN,2019-JAN-CITADEL-Break & Enter - Dwelling,,POINT (-114.1839168 51.14453595),247,10,3,2
CENTRE,EAU CLAIRE,Assault (Non-domestic),1,2019/09,2019,SEP,2019-SEP-EAU CLAIRE-Assault (Non-domestic),,POINT (-114.0728209 51.05360699),295,7,7,1
CENTRE,SCARBORO/ SUNALTA WEST,Theft OF Vehicle,1,2019/11,2019,NOV,2019-NOV-SCARBORO/ SUNALTA WEST-Theft OF Vehicle,,POINT (-114.1148588 51.04219483),206,2,14,1
SOUTH,ACADIA,Break & Enter - Commercial,1,2019/08,2019,AUG,2019-AUG-ACADIA-Break & Enter - Commercial,,POINT (-114.0536982 50.97240921),174,5,10,3
CENTRE,ROSEDALE,Assault (Non-domestic),1,2019/09,2019,SEP,2019-SEP-ROSEDALE-Assault (Non-domestic),,POINT (-114.0781973 51.06271245),219,7,7,2
SOUTH,LAKE BONAVISTA,Theft OF Vehicle,1,2019/08,2019,AUG,2019-AUG-LAKE BONAVISTA-Theft OF Vehicle,,POINT (-114.0513229 50.93980907),267,13,6,3
NORTHWEST,NOSE HILL PARK,Theft FROM Vehicle,1,2019/04,2019,APR,2019-APR-NOSE HILL PARK-Theft FROM Vehicle,,POINT (-114.110691 51.11127714),8,4,2,2
NORTHWEST,DALHOUSIE,Break & Enter - Other Premises,1,2019/10,2019,OCT,2019-OCT-DALHOUSIE-Break & Enter - Other Premises,,POINT (-114.1581646 51.10941383),38,4,7,2
SOUTHEAST,SECTION 23,Theft FROM Vehicle,1,2019/06,2019,JUN,2019-JUN-SECTION 23-Theft FROM Vehicle,,POINT (-113.9478046 50.97093555),104,8,10,3
NORTH,SAGE HILL,Theft OF Vehicle,1,2019/08,2019,AUG,2019-AUG-SAGE HILL-Theft OF Vehicle,,POINT (-114.1407048 51.17561697),265,10,3,2
SOUTHEAST,SHEPARD INDUSTRIAL,Theft FROM Vehicle,1,2019/01,2019,JAN,2019-JAN-SHEPARD INDUSTRIAL-Theft FROM Vehicle,,POINT (-113.9927776 50.96148346),162,8,4,3
WEST,SPRUCE CLIFF,Violence Other (Non-domestic),1,2019/05,2019,MAY,2019-MAY-SPRUCE CLIFF-Violence Other (Non-domestic),,POINT (-114.1362821 51.04860967),118,2,14,1
SOUTH,CANYON MEADOWS,Theft OF Vehicle,1,2019/12,2019,DEC,2019-DEC-CANYON MEADOWS-Theft OF Vehicle,,POINT (-114.0821823 50.94096383),283,6,5,1
WEST,WESTGATE,Break & Enter - Other Premises,1,2019/05,2019,MAY,2019-MAY-WESTGATE-Break & Enter - Other Premises,,POINT (-114.1584434 51.04415472),234,14,14,1
NORTHEAST,TEMPLE,Break & Enter - Other Premises,1,2019/07,2019,JUL,2019-JUL-TEMPLE-Break & Enter - Other Premises,,POINT (-113.9467677 51.08879459),22,3,9,4
CENTRE,RENFREW,Violence Other (Non-domestic),1,2019/10,2019,OCT,2019-OCT-RENFREW-Violence Other (Non-domestic),,POINT (-114.0391758 51.05965845),171,11,10,4
SOUTH,DEER RUN,Assault (Non-domestic),1,2019/04,2019,APR,2019-APR-DEER RUN-Assault (Non-domestic),,POINT (-114.0090877 50.92540672),168,13,6,3
NORTH,BEDDINGTON HEIGHTS,Break & Enter - Commercial,1,2019/06,2019,JUN,2019-JUN-BEDDINGTON HEIGHTS-Break & Enter - Commercial,,POINT (-114.0849111 51.13164399),273,4,2,2
NORTH,NORTH HAVEN,Break & Enter - Commercial,1,2019/01,2019,JAN,2019-JAN-NORTH HAVEN-Break & Enter - Commercial,,POINT (-114.0894206 51.09594155),61,4,2,2
NORTHEAST,CITYSCAPE,Break & Enter - Other Premises,1,2019/09,2019,SEP,2019-SEP-CITYSCAPE-Break & Enter - Other Premises,,POINT (-113.961258 51.14703156),176,1,11,4
EAST,BELVEDERE,Assault (Non-domestic),1,2019/04,2019,APR,2019-APR-BELVEDERE-Assault (Non-domestic),,POINT (-113.9049639 51.0378276),179,11,12,3
SOUTHEAST,MCKENZIE TOWNE,Break & Enter - Dwelling,1,2019/02,2019,FEB,2019-FEB-MCKENZIE TOWNE-Break & Enter - Dwelling,,POINT (-113.96148 50.91713725),46,8,4,3
CENTRE,RICHMOND,Break & Enter - Other Premises,1,2019/12,2019,DEC,2019-DEC-RICHMOND-Break & Enter - Other Premises,,POINT (-114.1184225 51.02970543),181,2,14,1
WEST,DISCOVERY RIDGE,Break & Enter - Commercial,1,2019/04,2019,APR,2019-APR-DISCOVERY RIDGE-Break & Enter - Commercial,,POINT (-114.2165627 51.01549975),165,14,1,1
SOUTH,PALLISER,Theft OF Vehicle,1,2019/12,2019,DEC,2019-DEC-PALLISER-Theft OF Vehicle,,POINT (-114.1121538 50.96676469),66,5,8,1
CENTRE,RIDEAU PARK,Break & Enter - Commercial,1,2019/02,2019,FEB,2019-FEB-RIDEAU PARK-Break & Enter - Commercial,,POINT (-114.0741605 51.02487162),277,5,10,1
SOUTH,SOMERSET,Theft OF Vehicle,1,2019/03,2019,MAR,2019-MAR-SOMERSET-Theft OF Vehicle,,POINT (-114.0813075 50.89869686),55,6,5,1
SOUTH,DEER RIDGE,Break & Enter - Dwelling,1,2019/07,2019,JUL,2019-JUL-DEER RIDGE-Break & Enter - Dwelling,,POINT (-114.0202339 50.92657361),151,13,6,3
CENTRE,CRESCENT HEIGHTS,Street Robbery,1,2019/08,2019,AUG,2019-AUG-CRESCENT HEIGHTS-Street Robbery,,POINT (-114.0616103 51.05952142),266,7,7,4
SOUTH,PARKLAND,Break & Enter - Other Premises,1,2019/10,2019,OCT,2019-OCT-PARKLAND-Break & Enter - Other Premises,,POINT (-114.0285394 50.9211972),117,13,6,3
NORTHEAST,05E,Break & Enter - Commercial,1,2019/06,2019,JUN,2019-JUN-05E-Break & Enter - Commercial,,POINT (-113.9292259 51.17990722),177,1,11,4
NORTHWEST,SCENIC ACRES,Break & Enter - Other Premises,1,2019/10,2019,OCT,2019-OCT-SCENIC ACRES-Break & Enter - Other Premises,,POINT (-114.2172583 51.11266461),148,9,13,2
CENTRE,TUXEDO PARK,Break & Enter - Other Premises,1,2019/10,2019,OCT,2019-OCT-TUXEDO PARK-Break & Enter - Other Premises,,POINT (-114.0610445 51.07424524),69,7,10,4
,03V,Break & Enter - Commercial,1,2019/03,2019,MAR,2019-MAR-03V-Break & Enter - Commercial,,,,,,
,10B,Theft FROM Vehicle,1,2019/12,2019,DEC,2019-DEC-10B-Theft FROM Vehicle,,,,,,
EAST,PENBROOKE MEADOWS,Break & Enter - Dwelling,1,2019/01,2019,JAN,2019-JAN-PENBROOKE MEADOWS-Break & Enter - Dwelling,,POINT (-113.9475162 51.04586562),30,11,12,3
NORTHEAST,SADDLE RIDGE INDUSTRIAL,Theft FROM Vehicle,1,2019/07,2019,JUL,2019-JUL-SADDLE RIDGE INDUSTRIAL-Theft FROM Vehicle,,POINT (-113.9757297 51.12518951),74,1,11,4
CENTRE,MANCHESTER,Theft OF Vehicle,1,2019/01,2019,JAN,2019-JAN-MANCHESTER-Theft OF Vehicle,,POINT (-114.0666468 51.00623889),124,11,10,1
CENTRE,SOUTH CALGARY,Break & Enter - Dwelling,1,2019/02,2019,FEB,2019-FEB-SOUTH CALGARY-Break & Enter - Dwelling,,POINT (-114.1020693 51.02680703),207,2,14,1
CENTRE,ROSEMONT,Theft FROM Vehicle,1,2019/10,2019,OCT,2019-OCT-ROSEMONT-Theft FROM Vehicle,,POINT (-114.090043 51.0783942),92,4,7,2
EAST,FOREST LAWN INDUSTRIAL,Theft FROM Vehicle,1,2019/12,2019,DEC,2019-DEC-FOREST LAWN INDUSTRIAL-Theft FROM Vehicle,,POINT (-113.9569697 51.02711112),97,11,12,3
SOUTH,BRIDLEWOOD,Break & Enter - Commercial,1,2019/01,2019,JAN,2019-JAN-BRIDLEWOOD-Break & Enter - Commercial,,POINT (-114.1097266 50.89945486),138,6,5,1
WEST,ROSSCARROCK,Break & Enter - Other Premises,1,2019/04,2019,APR,2019-APR-ROSSCARROCK-Break & Enter - Other Premises,,POINT (-114.1454937 51.04327739),281,2,14,1
NORTHWEST,BRENTWOOD,Commercial Robbery,1,2019/03,2019,MAR,2019-MAR-BRENTWOOD-Commercial Robbery,,POINT (-114.1359145 51.0960662),50,4,7,2
NORTHWEST,NOSE HILL PARK,Theft FROM Vehicle,1,2019/08,2019,AUG,2019-AUG-NOSE HILL PARK-Theft FROM Vehicle,,POINT (-114.110691 51.11127714),8,4,2,2
CENTRE,BRIDGELAND/RIVERSIDE,Theft FROM Vehicle,1,2019/05,2019,MAY,2019-MAY-BRIDGELAND/RIVERSIDE-Theft FROM Vehicle,,POINT (-114.0350725 51.05056676),137,11,10,4
CENTRE,HOUNSFIELD HEIGHTS/BRIAR HILL,Break & Enter - Other Premises,1,2019/12,2019,DEC,2019-DEC-HOUNSFIELD HEIGHTS/BRIAR HILL-Break & Enter - Other Premises,,POINT (-114.1057282 51.06319785),152,7,7,2
CENTRE,ALTADORE,Violence Other (Non-domestic),1,2019/01,2019,JAN,2019-JAN-ALTADORE-Violence Other (Non-domestic),,POINT (-114.1007947 51.01594847),200,2,8,1
SOUTH,MILLRISE,Break & Enter - Dwelling,1,2019/12,2019,DEC,2019-DEC-MILLRISE-Break & Enter - Dwelling,,POINT (-114.0849037 50.91704529),156,6,5,1
CENTRE,KILLARNEY/GLENGARRY,Assault (Non-domestic),1,2019/01,2019,JAN,2019-JAN-KILLARNEY/GLENGARRY-Assault (Non-domestic),,POINT (-114.1317019 51.03012939),182,2,14,1
SOUTH,DEER RIDGE,Commercial Robbery,1,2019/11,2019,NOV,2019-NOV-DEER RIDGE-Commercial Robbery,,POINT (-114.0202339 50.92657361),151,13,6,3
EAST,SOUTHVIEW,Commercial Robbery,1,2019/06,2019,JUN,2019-JUN-SOUTHVIEW-Commercial Robbery,,POINT (-113.9973381 51.03415568),15,11,12,3
WEST,GLAMORGAN,Violence Other (Non-domestic),1,2019/04,2019,APR,2019-APR-GLAMORGAN-Violence Other (Non-domestic),,POINT (-114.1528626 51.01552805),142,14,1,1
NORTH,EVANSTON,Assault (Non-domestic),1,2019/04,2019,APR,2019-APR-EVANSTON-Assault (Non-domestic),,POINT (-114.1124511 51.17111759),237,10,3,2
CENTRE,SCARBORO/ SUNALTA WEST,Theft FROM Vehicle,1,2019/06,2019,JUN,2019-JUN-SCARBORO/ SUNALTA WEST-Theft FROM Vehicle,,POINT (-114.1148588 51.04219483),206,2,14,1
WEST,COACH HILL,Theft OF Vehicle,1,2019/08,2019,AUG,2019-AUG-COACH HILL-Theft OF Vehicle,,POINT (-114.1829309 51.05834507),189,14,1,1
CENTRE,UPPER MOUNT ROYAL,Theft OF Vehicle,1,2019/03,2019,MAR,2019-MAR-UPPER MOUNT ROYAL-Theft OF Vehicle,,POINT (-114.0850279 51.02996708),271,2,14,1
CENTRE,CHINATOWN,Assault (Non-domestic),1,2019/08,2019,AUG,2019-AUG-CHINATOWN-Assault (Non-domestic),,POINT (-114.0655201 51.052827),21,7,7,1
CENTRE,ALTADORE,Violence Other (Non-domestic),1,2019/10,2019,OCT,2019-OCT-ALTADORE-Violence Other (Non-domestic),,POINT (-114.1007947 51.01594847),200,2,8,1
NORTH,SKYLINE WEST,Theft OF Vehicle,1,2019/05,2019,MAY,2019-MAY-SKYLINE WEST-Theft OF Vehicle,,POINT (-114.047392 51.10333042),112,4,2,4
WEST,LAKEVIEW,Break & Enter - Other Premises,1,2019/04,2019,APR,2019-APR-LAKEVIEW-Break & Enter - Other Premises,,POINT (-114.1296334 50.99977294),129,5,8,1
NORTHEAST,FRANKLIN,Violence Other (Non-domestic),1,2019/11,2019,NOV,2019-NOV-FRANKLIN-Violence Other (Non-domestic),,POINT (-113.9875255 51.05892746),84,3,12,4
EAST,VALLEYFIELD,Street Robbery,1,2019/08,2019,AUG,2019-AUG-VALLEYFIELD-Street Robbery,,POINT (-114.0018854 51.00908479),102,11,10,3
,02A,Assault (Non-domestic),1,2019/09,2019,SEP,2019-SEP-02A-Assault (Non-domestic),,,,,,
SOUTH,MIDNAPORE,Assault (Non-domestic),1,2019/10,2019,OCT,2019-OCT-MIDNAPORE-Assault (Non-domestic),,POINT (-114.0576149 50.91563847),263,13,6,3
CENTRE,KILLARNEY/GLENGARRY,Break & Enter - Other Premises,1,2019/06,2019,JUN,2019-JUN-KILLARNEY/GLENGARRY-Break & Enter - Other Premises,,POINT (-114.1317019 51.03012939),182,2,14,1
SOUTH,CEDARBRAE,Theft OF Vehicle,1,2019/02,2019,FEB,2019-FEB-CEDARBRAE-Theft OF Vehicle,,POINT (-114.1296161 50.95714874),126,5,8,1
NORTH,NORTH HAVEN,Break & Enter - Dwelling,1,2019/07,2019,JUL,2019-JUL-NORTH HAVEN-Break & Enter - Dwelling,,POINT (-114.0894206 51.09594155),61,4,2,2
